TransaccionID,Fecha,ProductoID,TiendaID,UnidadesVendidas,PrecioUnitarioAplicado,DescuentoPorcentaje,PrecioTotal
TRX-000001,2023-02-03,P-0150,T-025,5,795.09,0,3975.45
TRX-000002,2024-09-11,P-0086,T-040,9,112.12,25,756.81
TRX-000003,2024-06-18,P-0084,T-037,10,214.01,20,1712.08
TRX-000004,2023-03-07,P-0051,T-003,2,533.16,0,1066.32
TRX-000005,2023-12-29,P-0163,T-017,5,401.08,0,2005.40
TRX-000006,2023-09-07,P-0090,T-030,11,577.16,20,5079.01
TRX-000007,2023-07-29,P-0148,T-014,2,314.89,0,629.78
TRX-000008,2023-06-24,P-0100,T-040,6,253.63,0,1521.78
TRX-000009,2024-02-18,P-0154,T-047,7,316.24,30,1549.58
TRX-000010,2023-12-28,P-0088,T-049,7,298.09,0,2086.63
TRX-000011,2024-12-23,P-0103,T-012,1,298.7,0,298.70
TRX-000012,2023-02-13,P-0164,T-042,10,255.54,0,2555.40
TRX-000013,2024-02-07,P-0106,T-006,9,794.31,0,7148.79
TRX-000014,2023-05-21,P-0112,T-047,7,434.74,0,3043.18
TRX-000015,2024-08-30,P-0103,T-028,12,298.7,0,3584.40
TRX-000016,2024-10-17,P-0176,T-050,13,356.61,15,3940.54
TRX-000017,2024-06-16,P-0145,T-009,7,548.09,0,3836.63
TRX-000018,2024-02-06,P-0049,T-033,7,622.79,0,4359.53
TRX-000019,2023-09-15,P-0144,T-025,15,394.88,28,4264.70
TRX-000020,2024-01-13,P-0080,T-002,2,436.63,0,873.26
TRX-000021,2023-08-06,P-0185,T-043,4,541.49,0,2165.96
TRX-000022,2023-06-08,P-0153,T-031,4,234.58,0,938.32
TRX-000023,2023-09-22,P-0143,T-028,6,601.55,6,3392.74
TRX-000024,2024-05-06,P-0132,T-038,8,520.27,16,3496.21
TRX-000025,2023-01-09,P-0077,T-048,15,740.59,0,11108.85
TRX-000026,2023-03-05,P-0029,T-034,3,386.02,0,1158.06
TRX-000027,2024-01-16,P-0021,T-047,10,517.7,18,4245.14
TRX-000028,2023-12-30,P-0179,T-045,13,77.95,0,1013.35
TRX-000029,2023-10-17,P-0064,T-025,5,378.64,0,1893.20
TRX-000030,2023-08-13,P-0078,T-028,6,110.72,0,664.32
TRX-000031,2024-02-25,P-0016,T-029,4,362.85,0,1451.40
TRX-000032,2023-12-08,P-0026,T-028,5,537.16,0,2685.80
TRX-000033,2023-09-22,P-0119,T-022,13,431.18,0,5605.34
TRX-000034,2024-05-26,P-0168,T-023,14,714.02,0,9996.28
TRX-000035,2023-01-20,P-0069,T-018,10,515.46,0,5154.60
TRX-000036,2024-03-15,P-0199,T-047,15,764.34,0,11465.10
TRX-000037,2024-07-11,P-0026,T-042,2,537.16,0,1074.32
TRX-000038,2023-12-18,P-0151,T-022,12,71.31,0,855.72
TRX-000039,2023-01-05,P-0111,T-037,6,138.19,0,829.14
TRX-000040,2024-07-04,P-0138,T-025,9,564.42,0,5079.78
TRX-000041,2023-03-25,P-0031,T-008,10,281.57,17,2337.03
TRX-000042,2024-07-16,P-0138,T-048,10,564.42,0,5644.20
TRX-000043,2023-10-06,P-0039,T-004,11,342.6,13,3278.68
TRX-000044,2023-01-29,P-0193,T-015,3,299.11,0,897.33
TRX-000045,2023-05-27,P-0012,T-029,8,750.9,0,6007.20
TRX-000046,2024-03-16,P-0112,T-011,1,434.74,0,434.74
TRX-000047,2024-03-05,P-0127,T-014,2,241.26,0,482.52
TRX-000048,2024-10-25,P-0170,T-035,5,363.08,0,1815.40
TRX-000049,2024-09-21,P-0142,T-005,6,518.66,0,3111.96
TRX-000050,2024-06-27,P-0104,T-007,6,81.89,0,491.34
TRX-000051,2023-08-15,P-0148,T-018,3,314.89,25,708.50
TRX-000052,2024-10-17,P-0078,T-045,6,110.72,0,664.32
TRX-000053,2023-01-12,P-0132,T-017,6,520.27,0,3121.62
TRX-000054,2024-07-12,P-0024,T-031,13,711.7,0,9252.10
TRX-000055,2024-11-28,P-0055,T-020,9,260.72,0,2346.48
TRX-000056,2023-02-18,P-0128,T-022,9,642.57,30,4048.19
TRX-000057,2024-05-12,P-0175,T-008,2,52.76,0,105.52
TRX-000058,2024-10-20,P-0070,T-046,8,520.91,0,4167.28
TRX-000059,2023-10-26,P-0130,T-039,8,139.47,0,1115.76
TRX-000060,2024-03-05,P-0089,T-003,14,94.19,0,1318.66
TRX-000061,2024-07-15,P-0013,T-027,14,227.61,0,3186.54
TRX-000062,2023-05-21,P-0175,T-033,13,52.76,0,685.88
TRX-000063,2023-08-16,P-0186,T-045,2,313.41,0,626.82
TRX-000064,2024-05-23,P-0056,T-046,6,128.84,0,773.04
TRX-000065,2024-11-06,P-0131,T-026,11,444.99,0,4894.89
TRX-000066,2024-11-06,P-0149,T-028,14,444.25,0,6219.50
TRX-000067,2024-08-20,P-0155,T-006,3,452.98,17,1127.92
TRX-000068,2024-12-30,P-0024,T-019,12,711.7,0,8540.40
TRX-000069,,P-0197,T-007,10,750.96,,6458.26
TRX-000070,2023-02-02,P-0088,T-048,9,298.09,0,2682.81
TRX-000071,2024-02-13,P-0041,T-010,7,705.72,27,3606.23
TRX-000072,2023-08-03,P-0051,T-002,15,533.16,0,7997.40
TRX-000073,2024-08-18,P-0042,T-027,9,361.75,15,2767.39
TRX-000074,2023-01-06,P-0181,T-050,3,448.57,0,1345.71
TRX-000075,2024-04-07,P-0096,T-002,13,369.7,0,4806.10
TRX-000076,2024-07-24,P-0169,T-040,13,670.97,0,8722.61
TRX-000077,2023-01-16,P-0187,T-028,9,389.42,0,3504.78
TRX-000078,2023-04-08,P-0192,T-033,3,94.68,0,284.04
TRX-000079,2024-02-16,P-0153,T-041,13,234.58,0,3049.54
TRX-000080,2023-05-13,P-0180,T-022,12,449.28,0,5391.36
TRX-000081,2023-05-20,P-0078,T-029,4,110.72,8,407.45
TRX-000082,2023-12-20,P-0115,T-047,1,154.21,0,154.21
TRX-000083,2023-05-04,P-0095,T-007,12,771.65,28,6667.06
TRX-000084,2023-03-24,P-0023,T-028,8,345.99,0,2767.92
TRX-000085,2023-06-23,P-0063,T-039,12,134.79,12,1423.38
TRX-000086,2023-02-26,P-0146,T-047,15,395.97,0,5939.55
TRX-000087,2024-07-12,P-0096,T-050,14,369.7,0,5175.80
TRX-000088,2023-06-24,P-0103,T-029,1,298.7,22,232.99
TRX-000089,2023-02-07,P-0108,T-039,9,639.26,12,5062.94
TRX-000090,2023-02-24,P-0063,T-008,6,134.79,0,808.74
TRX-000091,2024-06-11,P-0053,T-019,5,373.39,0,1866.95
TRX-000092,2023-10-12,P-0118,T-013,10,456.92,0,4569.20
TRX-000093,2023-04-23,P-0116,T-026,5,843.61,0,4218.05
TRX-000094,2024-05-14,P-0115,T-006,6,154.21,22,721.70
TRX-000095,2023-02-08,P-0195,T-032,9,419.81,0,3778.29
TRX-000096,2024-12-15,P-0157,T-030,8,349.73,0,2797.84
TRX-000097,2023-04-17,P-0195,T-010,1,419.81,9,382.03
TRX-000098,2023-09-19,P-0020,T-037,6,525.72,22,2460.37
TRX-000099,2024-06-17,P-0075,T-033,10,711.85,27,5196.51
TRX-000100,2023-01-28,P-0136,T-027,3,362.08,22,847.27
TRX-000101,2023-11-15,P-0038,T-029,13,390.53,12,4467.66
TRX-000102,2024-07-22,P-0039,T-048,2,342.6,0,685.20
TRX-000103,2023-03-16,P-0056,T-003,1,128.84,0,128.84
TRX-000104,2024-08-02,P-0193,T-008,1,299.11,0,299.11
TRX-000105,2024-11-10,P-0103,T-020,14,298.7,0,4181.80
TRX-000106,2023-10-29,P-0069,T-020,4,515.46,0,2061.84
TRX-000107,2023-05-27,P-0160,T-026,11,192.15,0,2113.65
TRX-000108,2024-06-30,P-0120,T-039,7,93.03,11,579.58
TRX-000109,2023-04-23,P-0130,T-015,2,139.47,0,278.94
TRX-000110,2024-12-12,P-0178,T-041,5,220.82,0,1104.10
TRX-000111,2023-03-13,P-0054,T-020,7,324.9,0,2274.30
TRX-000112,2023-01-04,P-0156,T-029,2,132.08,0,264.16
TRX-000113,2024-12-29,P-0130,T-028,4,139.47,0,557.88
TRX-000114,2023-04-29,P-0060,T-006,14,241.29,0,3378.06
TRX-000115,2023-08-13,P-0028,T-015,7,247.29,0,1731.03
TRX-000116,2023-05-12,P-0033,T-009,14,707.22,0,9901.08
TRX-000117,2024-12-02,P-0086,T-003,15,112.12,0,1681.80
TRX-000118,2024-04-29,P-0010,T-014,5,413.64,29,1468.42
TRX-000119,2023-08-21,P-0098,T-050,1,348.62,0,348.62
TRX-000120,2024-08-29,P-0120,T-022,9,93.03,17,694.93
TRX-000121,2024-09-18,P-0091,T-024,9,644.97,10,5224.26
TRX-000122,2023-09-07,P-0068,T-036,11,303.34,13,2902.96
TRX-000123,2024-01-02,P-0002,T-032,13,300.52,8,3594.22
TRX-000124,2023-04-06,P-0070,T-013,6,520.91,0,3125.46
TRX-000125,2024-08-16,P-0106,T-017,2,794.31,0,1588.62
TRX-000126,2023-12-05,P-0123,T-015,11,423.72,0,4660.92
TRX-000127,2023-01-09,P-0036,T-034,13,611.92,0,7954.96
TRX-000128,2023-07-08,P-0188,T-022,1,628.65,0,628.65
TRX-000129,2024-04-15,P-0076,T-004,8,392.31,0,3138.48
TRX-000130,2024-12-21,P-0058,T-028,7,168.62,0,1180.34
TRX-000131,2024-03-09,P-0067,T-040,7,815.39,6,5365.27
TRX-000132,2023-06-30,P-0059,T-006,12,791.54,0,9498.48
TRX-000133,,P-0072,T-045,2,173.17,,346.34
TRX-000134,2023-07-17,P-0075,T-050,4,711.85,0,2847.40
TRX-000135,2023-09-19,P-0090,T-022,7,577.16,0,4040.12
TRX-000136,2023-03-04,P-0083,T-026,5,604.06,25,2265.22
TRX-000137,2023-04-06,P-0164,T-019,7,255.54,0,1788.78
TRX-000138,2024-04-18,P-0082,T-002,8,82.17,0,657.36
TRX-000139,,P-0075,T-021,4,711.85,,2847.40
TRX-000140,2024-01-22,P-0110,T-001,15,536.34,0,8045.10
TRX-000141,2023-08-07,P-0022,T-027,8,121.94,0,975.52
TRX-000142,2024-06-02,P-0134,T-040,15,103.31,0,1549.65
TRX-000143,2023-03-14,P-0129,T-001,1,522.69,0,522.69
TRX-000144,2023-03-22,P-0194,T-041,10,249.36,0,2493.60
TRX-000145,2023-04-18,P-0163,T-028,10,401.08,0,4010.80
TRX-000146,2023-03-01,P-0019,T-046,14,285.14,0,3991.96
TRX-000147,2023-08-25,P-0146,T-031,10,395.97,0,3959.70
TRX-000148,2023-12-04,P-0055,T-043,8,260.72,0,2085.76
TRX-000149,2024-01-09,P-0044,T-027,7,175.16,25,919.59
TRX-000150,2024-03-13,P-0137,T-027,10,510.97,0,5109.70
TRX-000151,2024-07-06,P-0100,T-021,4,253.63,0,1014.52
TRX-000152,2023-11-10,P-0012,T-038,2,750.9,17,1246.49
TRX-000153,2024-02-12,P-0155,T-040,1,452.98,0,452.98
TRX-000154,2023-11-28,P-0090,T-050,1,577.16,0,577.16
TRX-000155,2023-12-05,P-0163,T-007,2,401.08,18,657.77
TRX-000156,2024-03-12,P-0125,T-039,11,362.52,0,3987.72
TRX-000157,2023-07-24,P-0099,T-008,10,538.89,20,4311.12
TRX-000158,2024-06-24,P-0007,T-033,14,671.75,21,7429.56
TRX-000159,2024-09-23,P-0137,T-029,11,510.97,0,5620.67
TRX-000160,2023-09-26,P-0105,T-016,7,800.31,0,5602.17
TRX-000161,2024-09-11,P-0168,T-006,15,714.02,16,8996.65
TRX-000162,2024-12-02,P-0189,T-049,9,641.43,0,5772.87
TRX-000163,2023-11-16,P-0170,T-047,10,363.08,0,3630.80
TRX-000164,2023-05-08,P-0083,T-015,3,604.06,0,1812.18
TRX-000165,2023-05-07,P-0079,T-044,3,598.84,0,1796.52
TRX-000166,2024-02-27,P-0067,T-027,7,815.39,30,3995.41
TRX-000167,2024-12-28,P-0075,T-018,15,711.85,13,9289.64
TRX-000168,2023-03-07,P-0058,T-015,10,168.62,0,1686.20
TRX-000169,2023-10-16,P-0006,T-043,13,843.07,16,9206.32
TRX-000170,2024-05-14,P-0090,T-032,1,577.16,0,577.16
TRX-000171,2024-09-09,P-0053,T-033,8,373.39,0,2987.12
TRX-000172,2024-08-08,P-0148,T-040,14,314.89,0,4408.46
TRX-000173,2024-12-15,P-0077,T-049,11,740.59,0,8146.49
TRX-000174,2024-10-23,P-0025,T-039,8,616.78,20,3947.39
TRX-000175,2024-08-13,P-0179,T-028,11,77.95,0,857.45
TRX-000176,2023-06-12,P-0102,T-049,5,577.31,9,2626.76
TRX-000177,2024-02-12,P-0098,T-040,10,348.62,0,3486.20
TRX-000178,,P-0099,T-046,13,538.89,,7005.57
TRX-000179,2024-11-03,P-0046,T-037,3,449.12,0,1347.36
TRX-000180,2023-12-22,P-0014,T-040,9,279.19,0,2512.71
TRX-000181,2023-03-23,P-0118,T-042,2,456.92,0,913.84
TRX-000182,2023-06-14,P-0039,T-039,13,342.6,0,4453.80
TRX-000183,2023-02-24,P-0007,T-025,1,671.75,9,611.29
TRX-000184,2024-04-18,P-0009,T-029,10,54.26,0,542.60
TRX-000185,2024-01-16,P-0104,T-024,5,81.89,0,409.45
TRX-000186,2023-08-18,P-0033,T-030,12,707.22,0,8486.64
TRX-000187,2023-10-14,P-0046,T-025,7,449.12,0,3143.84
